Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2020-04-13,502: Δ=1,17: Δ=1
2020-04-12,501: Δ=21,16: Δ=1
2020-04-11,480: Δ=16,15: Δ=2
2020-04-10,464: Δ=20,13: Δ=1
2020-04-09,444: Δ=21,12: Δ=1
2020-04-08,423: Δ=18,11: Δ=1
2020-04-07,405: Δ=22,10: Δ=3
2020-04-06,383: Δ=36,7: Δ=1
2020-04-05,347: Δ=17,6: Δ=0
2020-04-04,330: Δ=16,6: Δ=0
2020-04-03,314: Δ=31,6: Δ=3
2020-04-02,283: Δ=28,3: Δ=0
2020-04-01,255: Δ=64,3: Δ=1
2020-03-31,191: Δ=18,2: Δ=0
2020-03-30,173: Δ=25,2: Δ=0
2020-03-29,148: Δ=15,2: Δ=0
2020-03-28,133: Δ=33,2: Δ=0
2020-03-27,100: Δ=33,2: Δ=1
2020-03-26,67: Δ=16,1: Δ=0
2020-03-25,51: Δ=11,1: Δ=1
2020-03-24,40: Δ=10,0: Δ=0
2020-03-23,30: Δ=6,0: Δ=0
2020-03-22,24: Δ=13,0: Δ=0
2020-03-21,11: Δ=2,0: Δ=0
2020-03-20,9: Δ=4,0: Δ=0
2020-03-19,5: Δ=3,0: Δ=0
2020-03-18,2: Δ=0,0: Δ=0
2020-03-17,2: Δ=1,0: Δ=0
2020-03-16,1: Δ=0,0: Δ=0
2020-03-15,1: Δ=0,0: Δ=0
2020-03-14,1: Δ=1,0: Δ=0
