Date,Cases-Total: Δ=Daily-Change,Deaths-Total: Δ=Daily-Change
2020-04-29,3698: Δ=152,358: Δ=12
2020-04-28,3546: Δ=165,346: Δ=9
2020-04-27,3381: Δ=86,337: Δ=10
2020-04-26,3295: Δ=66,327: Δ=12
2020-04-25,3229: Δ=169,315: Δ=16
2020-04-24,3060: Δ=224,299: Δ=12
2020-04-23,2836: Δ=158,287: Δ=16
2020-04-22,2678: Δ=145,271: Δ=27
2020-04-21,2533: Δ=95,244: Δ=20
2020-04-20,2438: Δ=101,224: Δ=11
2020-04-19,2337: Δ=83,213: Δ=11
2020-04-18,2254: Δ=120,202: Δ=19
2020-04-17,2134: Δ=149,183: Δ=20
2020-04-16,1985: Δ=100,163: Δ=10
2020-04-15,1885: Δ=87,153: Δ=19
2020-04-14,1798: Δ=104,134: Δ=19
2020-04-13,1694: Δ=47,115: Δ=11
2020-04-12,1647: Δ=102,104: Δ=10
2020-04-11,1545: Δ=151,94: Δ=6
2020-04-10,1394: Δ=118,88: Δ=7
2020-04-09,1276: Δ=195,81: Δ=17
2020-04-08,1081: Δ=84,64: Δ=8
2020-04-07,997: Δ=108,56: Δ=17
2020-04-06,889: Δ=121,39: Δ=4
2020-04-05,768: Δ=35,35: Δ=0
2020-04-04,733: Δ=72,35: Δ=7
2020-04-03,661: Δ=115,28: Δ=8
2020-04-02,546: Δ=71,20: Δ=3
2020-04-01,475: Δ=121,17: Δ=5
2020-03-31,354: Δ=99,12: Δ=7
2020-03-30,255: Δ=54,5: Δ=0
2020-03-29,201: Δ=18,5: Δ=0
2020-03-28,183: Δ=93,5: Δ=3
2020-03-27,90: Δ=35,2: Δ=0
2020-03-26,55: Δ=10,2: Δ=1
